# Team 0: SixsevenPoker, Team 1: Attention Is All You Need
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
8,Flop,1,2,-2,DISCARD,0,1,2,"['4s', '9h', '6s', '5d', '3s']","['2h', '8s', '2s', '6d', '7h']","['4h', '5s', '9s']",[],[],2,2
8,Flop,0,2,-2,DISCARD,0,1,3,"['4s', '9h', '6s', '5d', '3s']","['8s', '2s']","['4h', '5s', '9s']",[],"['2h', '6d', '7h']",2,2
8,Flop,1,2,-2,CHECK,0,0,0,"['9h', '5d']","['8s', '2s']","['4h', '5s', '9s']","['4s', '6s', '3s']","['2h', '6d', '7h']",2,2
8,Flop,0,2,-2,RAISE,2,0,0,"['9h', '5d']","['8s', '2s']","['4h', '5s', '9s']","['4s', '6s', '3s']","['2h', '6d', '7h']",2,2
8,Flop,1,2,-2,FOLD,0,0,0,"['9h', '5d']","['8s', '2s']","['4h', '5s', '9s']","['4s', '6s', '3s']","['2h', '6d', '7h']",2,2
9,Pre-Flop,1,4,-4,RAISE,6,0,0,"['7h', '9s', '2s', '9h', '4d']","['4h', '5d', '8h', 'As', '8d']",[],[],[],1,1
9,Pre-Flop,0,4,-4,CALL,0,0,0,"['7h', '9s', '2s', '9h', '4d']","['4h', '5d', '8h', 'As', '8d']",[],[],[],2,2
9,Flop,0,4,-4,DISCARD,0,1,3,"['7h', '9s', '2s', '9h', '4d']","['4h', '5d', '8h', 'As', '8d']","['Ah', '3d', '3h']",[],[],8,8
9,Flop,1,4,-4,DISCARD,0,3,4,"['9s', '9h']","['4h', '5d', '8h', 'As', '8d']","['Ah', '3d', '3h']","['7h', '2s', '4d']",[],8,8
9,Flop,0,4,-4,CHECK,0,0,0,"['9s', '9h']","['As', '8d']","['Ah', '3d', '3h']","['7h', '2s', '4d']","['4h', '5d', '8h']",8,8
9,Flop,1,4,-4,RAISE,9,0,0,"['9s', '9h']","['As', '8d']","['Ah', '3d', '3h']","['7h', '2s', '4d']","['4h', '5d', '8h']",8,8
9,Flop,0,4,-4,FOLD,0,0,0,"['9s', '9h']","['As', '8d']","['Ah', '3d', '3h']","['7h', '2s', '4d']","['4h', '5d', '8h']",8,8
10,Pre-Flop,0,-4,4,CALL,0,0,0,"['4d', 'As', '6d', '9d', '5h']","['8d', '8s', 'Ad', '6h', '8h']",[],[],[],1,1
10,Pre-Flop,1,-4,4,RAISE,6,0,0,"['4d', 'As', '6d', '9d', '5h']","['8d', '8s', 'Ad', '6h', '8h']",[],[],[],2,2
10,Pre-Flop,0,-4,4,CALL,0,0,0,"['4d', 'As', '6d', '9d', '5h']","['8d', '8s', 'Ad', '6h', '8h']",[],[],[],2,2
10,Flop,1,-4,4,DISCARD,0,0,1,"['4d', 'As', '6d', '9d', '5h']","['8d', '8s', 'Ad', '6h', '8h']","['9h', '6s', '7s']",[],[],8,8
10,Flop,0,-4,4,DISCARD,0,2,3,"['4d', 'As', '6d', '9d', '5h']","['8d', '8s']","['9h', '6s', '7s']",[],"['Ad', '6h', '8h']",8,8
10,Flop,1,-4,4,CHECK,0,0,0,"['6d', '9d']","['8d', '8s']","['9h', '6s', '7s']","['4d', 'As', '5h']","['Ad', '6h', '8h']",8,8
10,Flop,0,-4,4,CHECK,0,0,0,"['6d', '9d']","['8d', '8s']","['9h', '6s', '7s']","['4d', 'As', '5h']","['Ad', '6h', '8h']",8,8
10,Turn,1,-4,4,RAISE,9,0,0,"['6d', '9d']","['8d', '8s']","['9h', '6s', '7s', '5s']","['4d', 'As', '5h']","['Ad', '6h', '8h']",8,8
10,Turn,0,-4,4,FOLD,0,0,0,"['6d', '9d']","['8d', '8s']","['9h', '6s', '7s', '5s']","['4d', 'As', '5h']","['Ad', '6h', '8h']",8,8
11,Pre-Flop,1,-12,12,CALL,0,0,0,"['7d', '2h', 'As', '9h', '7h']","['4h', '6d', '6h', '8d', '5s']",[],[],[],1,1
11,Pre-Flop,0,-12,12,CHECK,0,0,0,"['7d', '2h', 'As', '9h', '7h']","['4h', '6d', '6h', '8d', '5s']",[],[],[],2,2
11,Flop,0,-12,12,DISCARD,0,0,4,"['7d', '2h', 'As', '9h', '7h']","['4h', '6d', '6h', '8d', '5s']","['5d', '4d', '4s']",[],[],2,2
11,Flop,1,-12,12,DISCARD,0,0,4,"['7d', '7h']","['4h', '6d', '6h', '8d', '5s']","['5d', '4d', '4s']","['2h', 'As', '9h']",[],2,2
11,Flop,0,-12,12,CHECK,0,0,0,"['7d', '7h']","['4h', '5s']","['5d', '4d', '4s']","['2h', 'As', '9h']","['6d', '6h', '8d']",2,2
11,Flop,1,-12,12,RAISE,2,0,0,"['7d', '7h']","['4h', '5s']","['5d', '4d', '4s']","['2h', 'As', '9h']","['6d', '6h', '8d']",2,2
11,Flop,0,-12,12,CALL,0,0,0,"['7d', '7h']","['4h', '5s']","['5d', '4d', '4s']","['2h', 'As', '9h']","['6d', '6h', '8d']",2,2
11,Turn,0,-12,12,CHECK,0,0,0,"['7d', '7h']","['4h', '5s']","['5d', '4d', '4s', '3h']","['2h', 'As', '9h']","['6d', '6h', '8d']",4,4
11,Turn,1,-12,12,RAISE,4,0,0,"['7d', '7h']","['4h', '5s']","['5d', '4d', '4s', '3h']","['2h', 'As', '9h']","['6d', '6h', '8d']",4,4
11,Turn,0,-12,12,FOLD,0,0,0,"['7d', '7h']","['4h', '5s']","['5d', '4d', '4s', '3h']","['2h', 'As', '9h']","['6d', '6h', '8d']",4,4
12,Pre-Flop,0,-16,16,CALL,0,0,0,"['9h', '3s', '7d', '4h', '4s']","['9s', '8h', '2s', '3d', 'Ad']",[],[],[],1,1
12,Pre-Flop,1,-16,16,CHECK,0,0,0,"['9h', '3s', '7d', '4h', '4s']","['9s', '8h', '2s', '3d', 'Ad']",[],[],[],2,2
12,Flop,1,-16,16,DISCARD,0,3,4,"['9h', '3s', '7d', '4h', '4s']","['9s', '8h', '2s', '3d', 'Ad']","['4d', 'As', '5d']",[],[],2,2
12,Flop,0,-16,16,DISCARD,0,3,4,"['9h', '3s', '7d', '4h', '4s']","['3d', 'Ad']","['4d', 'As', '5d']",[],"['9s', '8h', '2s']",2,2
12,Flop,1,-16,16,RAISE,2,0,0,"['4h', '4s']","['3d', 'Ad']","['4d', 'As', '5d']","['9h', '3s', '7d']","['9s', '8h', '2s']",2,2
12,Flop,0,-16,16,CALL,0,0,0,"['4h', '4s']","['3d', 'Ad']","['4d', 'As', '5d']","['9h', '3s', '7d']","['9s', '8h', '2s']",2,2
12,Turn,1,-16,16,CHECK,0,0,0,"['4h', '4s']","['3d', 'Ad']","['4d', 'As', '5d', '8s']","['9h', '3s', '7d']","['9s', '8h', '2s']",4,4
12,Turn,0,-16,16,RAISE,4,0,0,"['4h', '4s']","['3d', 'Ad']","['4d', 'As', '5d', '8s']","['9h', '3s', '7d']","['9s', '8h', '2s']",4,4
12,Turn,1,-16,16,CALL,0,0,0,"['4h', '4s']","['3d', 'Ad']","['4d', 'As', '5d', '8s']","['9h', '3s', '7d']","['9s', '8h', '2s']",4,4
12,River,1,-16,16,RAISE,9,0,0,"['4h', '4s']","['3d', 'Ad']","['4d', 'As', '5d', '8s', '2h']","['9h', '3s', '7d']","['9s', '8h', '2s']",8,8
12,River,0,-16,16,FOLD,0,0,0,"['4h', '4s']","['3d', 'Ad']","['4d', 'As', '5d', '8s', '2h']","['9h', '3s', '7d']","['9s', '8h', '2s']",8,8
13,Pre-Flop,1,-24,24,RAISE,98,0,0,"['9h', '8s', '7s', '4d', '4s']","['9s', '9d', '6s', '3d', '2d']",[],[],[],1,1
13,Pre-Flop,0,-24,24,FOLD,0,0,0,"['9h', '8s', '7s', '4d', '4s']","['9s', '9d', '6s', '3d', '2d']",[],[],[],2,2
14,Pre-Flop,0,-26,26,FOLD,0,0,0,"['4h', '4s', '6h', '4d', '3s']","['As', '6s', '5h', '9d', '3d']",[],[],[],1,1
15,Pre-Flop,1,-27,27,RAISE,6,0,0,"['Ah', '5d', '9h', '9s', '2s']","['7h', 'Ad', '3s', '4d', '7d']",[],[],[],1,1
15,Pre-Flop,0,-27,27,RAISE,8,0,0,"['Ah', '5d', '9h', '9s', '2s']","['7h', 'Ad', '3s', '4d', '7d']",[],[],[],2,2
15,Pre-Flop,1,-27,27,CALL,0,0,0,"['Ah', '5d', '9h', '9s', '2s']","['7h', 'Ad', '3s', '4d', '7d']",[],[],[],8,8
15,Flop,0,-27,27,DISCARD,0,0,4,"['Ah', '5d', '9h', '9s', '2s']","['7h', 'Ad', '3s', '4d', '7d']","['6h', 'As', '2d']",[],[],16,16
15,Flop,1,-27,27,DISCARD,0,1,3,"['Ah', '2s']","['7h', 'Ad', '3s', '4d', '7d']","['6h', 'As', '2d']","['5d', '9h', '9s']",[],16,16
15,Flop,0,-27,27,RAISE,24,0,0,"['Ah', '2s']","['Ad', '4d']","['6h', 'As', '2d']","['5d', '9h', '9s']","['7h', '3s', '7d']",16,16
15,Flop,1,-27,27,FOLD,0,0,0,"['Ah', '2s']","['Ad', '4d']","['6h', 'As', '2d']","['5d', '9h', '9s']","['7h', '3s', '7d']",16,16
16,Pre-Flop,0,-11,11,CALL,0,0,0,"['5d', '3h', '2s', '6h', '5s']","['9d', '5h', '7s', 'Ah', '6s']",[],[],[],1,1
16,Pre-Flop,1,-11,11,CHECK,0,0,0,"['5d', '3h', '2s', '6h', '5s']","['9d', '5h', '7s', 'Ah', '6s']",[],[],[],2,2
16,Flop,1,-11,11,DISCARD,0,0,2,"['5d', '3h', '2s', '6h', '5s']","['9d', '5h', '7s', 'Ah', '6s']","['3s', '9h', '8s']",[],[],2,2
16,Flop,0,-11,11,DISCARD,0,0,4,"['5d', '3h', '2s', '6h', '5s']","['9d', '7s']","['3s', '9h', '8s']",[],"['5h', 'Ah', '6s']",2,2
16,Flop,1,-11,11,CHECK,0,0,0,"['5d', '5s']","['9d', '7s']","['3s', '9h', '8s']","['3h', '2s', '6h']","['5h', 'Ah', '6s']",2,2
16,Flop,0,-11,11,CHECK,0,0,0,"['5d', '5s']","['9d', '7s']","['3s', '9h', '8s']","['3h', '2s', '6h']","['5h', 'Ah', '6s']",2,2
16,Turn,1,-11,11,CHECK,0,0,0,"['5d', '5s']","['9d', '7s']","['3s', '9h', '8s', '8d']","['3h', '2s', '6h']","['5h', 'Ah', '6s']",2,2
16,Turn,0,-11,11,CHECK,0,0,0,"['5d', '5s']","['9d', '7s']","['3s', '9h', '8s', '8d']","['3h', '2s', '6h']","['5h', 'Ah', '6s']",2,2
16,River,1,-11,11,RAISE,2,0,0,"['5d', '5s']","['9d', '7s']","['3s', '9h', '8s', '8d', '4h']","['3h', '2s', '6h']","['5h', 'Ah', '6s']",2,2
16,River,0,-11,11,CALL,0,0,0,"['5d', '5s']","['9d', '7s']","['3s', '9h', '8s', '8d', '4h']","['3h', '2s', '6h']","['5h', 'Ah', '6s']",2,2
17,Pre-Flop,1,-15,15,FOLD,0,0,0,"['Ah', '6h', '6s', '6d', '3s']","['5s', '4h', '9s', '5h', '2s']",[],[],[],1,1
18,Pre-Flop,0,-14,14,FOLD,0,0,0,"['3h', '8s', '3d', '4s', '2d']","['9d', 'Ah', '6h', '7d', '5h']",[],[],[],1,1
19,Pre-Flop,1,-15,15,FOLD,0,0,0,"['6s', '5h', '3h', '8h', '8d']","['5s', '4h', '7s', '2h', '9h']",[],[],[],1,1
20,Pre-Flop,0,-14,14,RAISE,2,0,0,"['7s', '7h', '5h', 'Ah', '4d']","['2h', '2d', '9h', '6s', '9s']",[],[],[],1,1
20,Pre-Flop,1,-14,14,RAISE,96,0,0,"['7s', '7h', '5h', 'Ah', '4d']","['2h', '2d', '9h', '6s', '9s']",[],[],[],2,2
20,Pre-Flop,0,-14,14,CALL,0,0,0,"['7s', '7h', '5h', 'Ah', '4d']","['2h', '2d', '9h', '6s', '9s']",[],[],[],4,4
20,Flop,1,-14,14,DISCARD,0,2,4,"['7s', '7h', '5h', 'Ah', '4d']","['2h', '2d', '9h', '6s', '9s']","['7d', '3d', '6h']",[],[],100,100
20,Flop,0,-14,14,DISCARD,0,2,4,"['7s', '7h', '5h', 'Ah', '4d']","['9h', '9s']","['7d', '3d', '6h']",[],"['2h', '2d', '6s']",100,100
20,Flop,1,-14,14,CHECK,0,0,0,"['5h', '4d']","['9h', '9s']","['7d', '3d', '6h']","['7s', '7h', 'Ah']","['2h', '2d', '6s']",100,100
20,Flop,0,-14,14,CHECK,0,0,0,"['5h', '4d']","['9h', '9s']","['7d', '3d', '6h']","['7s', '7h', 'Ah']","['2h', '2d', '6s']",100,100
20,Turn,1,-14,14,CHECK,0,0,0,"['5h', '4d']","['9h', '9s']","['7d', '3d', '6h', '4s']","['7s', '7h', 'Ah']","['2h', '2d', '6s']",100,100
20,Turn,0,-14,14,CHECK,0,0,0,"['5h', '4d']","['9h', '9s']","['7d', '3d', '6h', '4s']","['7s', '7h', 'Ah']","['2h', '2d', '6s']",100,100
20,River,1,-14,14,CHECK,0,0,0,"['5h', '4d']","['9h', '9s']","['7d', '3d', '6h', '4s', '6d']","['7s', '7h', 'Ah']","['2h', '2d', '6s']",100,100
20,River,0,-14,14,CHECK,0,0,0,"['5h', '4d']","['9h', '9s']","['7d', '3d', '6h', '4s', '6d']","['7s', '7h', 'Ah']","['2h', '2d', '6s']",100,100
21,Pre-Flop,1,86,-86,FOLD,0,0,0,"['3h', '9h', '8s', '6s', 'As']","['9d', 'Ad', '5d', '2s', '8d']",[],[],[],1,1
22,Pre-Flop,0,87,-87,CALL,0,0,0,"['2d', '8h', '3s', 'As', '5s']","['9d', '9s', '7d', '3d', '9h']",[],[],[],1,1
22,Pre-Flop,1,87,-87,RAISE,98,0,0,"['2d', '8h', '3s', 'As', '5s']","['9d', '9s', '7d', '3d', '9h']",[],[],[],2,2
22,Pre-Flop,0,87,-87,FOLD,0,0,0,"['2d', '8h', '3s', 'As', '5s']","['9d', '9s', '7d', '3d', '9h']",[],[],[],2,2
23,Pre-Flop,1,85,-85,FOLD,0,0,0,"['8d', '6h', 'Ad', '9s', '3s']","['6s', '2s', '5d', '7d', '5h']",[],[],[],1,1
24,Pre-Flop,0,86,-86,RAISE,2,0,0,"['Ad', '6h', '9d', '5d', 'As']","['4h', 'Ah', '7d', '3s', '8s']",[],[],[],1,1
24,Pre-Flop,1,86,-86,CALL,0,0,0,"['Ad', '6h', '9d', '5d', 'As']","['4h', 'Ah', '7d', '3s', '8s']",[],[],[],2,2
24,Flop,1,86,-86,DISCARD,0,0,2,"['Ad', '6h', '9d', '5d', 'As']","['4h', 'Ah', '7d', '3s', '8s']","['4d', '5s', '3d']",[],[],4,4
24,Flop,0,86,-86,DISCARD,0,0,4,"['Ad', '6h', '9d', '5d', 'As']","['4h', '7d']","['4d', '5s', '3d']",[],"['Ah', '3s', '8s']",4,4
24,Flop,1,86,-86,CHECK,0,0,0,"['Ad', 'As']","['4h', '7d']","['4d', '5s', '3d']","['6h', '9d', '5d']","['Ah', '3s', '8s']",4,4
24,Flop,0,86,-86,CHECK,0,0,0,"['Ad', 'As']","['4h', '7d']","['4d', '5s', '3d']","['6h', '9d', '5d']","['Ah', '3s', '8s']",4,4
24,Turn,1,86,-86,CHECK,0,0,0,"['Ad', 'As']","['4h', '7d']","['4d', '5s', '3d', '2s']","['6h', '9d', '5d']","['Ah', '3s', '8s']",4,4
24,Turn,0,86,-86,CHECK,0,0,0,"['Ad', 'As']","['4h', '7d']","['4d', '5s', '3d', '2s']","['6h', '9d', '5d']","['Ah', '3s', '8s']",4,4
24,River,1,86,-86,CHECK,0,0,0,"['Ad', 'As']","['4h', '7d']","['4d', '5s', '3d', '2s', '2d']","['6h', '9d', '5d']","['Ah', '3s', '8s']",4,4
24,River,0,86,-86,CHECK,0,0,0,"['Ad', 'As']","['4h', '7d']","['4d', '5s', '3d', '2s', '2d']","['6h', '9d', '5d']","['Ah', '3s', '8s']",4,4
25,Pre-Flop,1,90,-90,FOLD,0,0,0,"['9h', '7s', 'Ad', '4s', '6s']","['4h', '6d', '2d', '8s', '2h']",[],[],[],1,1
26,Pre-Flop,0,91,-91,CALL,0,0,0,"['9h', '3d', 'Ah', '6s', '7h']","['5s', '4d', '4s', '7d', '5h']",[],[],[],1,1
26,Pre-Flop,1,91,-91,CHECK,0,0,0,"['9h', '3d', 'Ah', '6s', '7h']","['5s', '4d', '4s', '7d', '5h']",[],[],[],2,2
26,Flop,1,91,-91,DISCARD,0,0,4,"['9h', '3d', 'Ah', '6s', '7h']","['5s', '4d', '4s', '7d', '5h']","['2d', '5d', '8s']",[],[],2,2
26,Flop,0,91,-91,DISCARD,0,0,2,"['9h', '3d', 'Ah', '6s', '7h']","['5s', '5h']","['2d', '5d', '8s']",[],"['4d', '4s', '7d']",2,2
26,Flop,1,91,-91,RAISE,2,0,0,"['9h', 'Ah']","['5s', '5h']","['2d', '5d', '8s']","['3d', '6s', '7h']","['4d', '4s', '7d']",2,2
26,Flop,0,91,-91,CALL,0,0,0,"['9h', 'Ah']","['5s', '5h']","['2d', '5d', '8s']","['3d', '6s', '7h']","['4d', '4s', '7d']",2,2
26,Turn,1,91,-91,RAISE,4,0,0,"['9h', 'Ah']","['5s', '5h']","['2d', '5d', '8s', '6h']","['3d', '6s', '7h']","['4d', '4s', '7d']",4,4
26,Turn,0,91,-91,FOLD,0,0,0,"['9h', 'Ah']","['5s', '5h']","['2d', '5d', '8s', '6h']","['3d', '6s', '7h']","['4d', '4s', '7d']",4,4
27,Pre-Flop,1,87,-87,RAISE,98,0,0,"['4d', '8d', '6s', '4h', '5h']","['2d', '3s', '9h', '9d', '7h']",[],[],[],1,1
27,Pre-Flop,0,87,-87,FOLD,0,0,0,"['4d', '8d', '6s', '4h', '5h']","['2d', '3s', '9h', '9d', '7h']",[],[],[],2,2
28,Pre-Flop,0,85,-85,CALL,0,0,0,"['9d', '7d', '2d', '2h', '4s']","['Ad', '5d', '9s', '8d', '3d']",[],[],[],1,1
28,Pre-Flop,1,85,-85,CHECK,0,0,0,"['9d', '7d', '2d', '2h', '4s']","['Ad', '5d', '9s', '8d', '3d']",[],[],[],2,2
28,Flop,1,85,-85,DISCARD,0,1,4,"['9d', '7d', '2d', '2h', '4s']","['Ad', '5d', '9s', '8d', '3d']","['6s', '4h', '2s']",[],[],2,2
28,Flop,0,85,-85,DISCARD,0,2,3,"['9d', '7d', '2d', '2h', '4s']","['5d', '3d']","['6s', '4h', '2s']",[],"['Ad', '9s', '8d']",2,2
28,Flop,1,85,-85,RAISE,2,0,0,"['2d', '2h']","['5d', '3d']","['6s', '4h', '2s']","['9d', '7d', '4s']","['Ad', '9s', '8d']",2,2
28,Flop,0,85,-85,CALL,0,0,0,"['2d', '2h']","['5d', '3d']","['6s', '4h', '2s']","['9d', '7d', '4s']","['Ad', '9s', '8d']",2,2
28,Turn,1,85,-85,RAISE,4,0,0,"['2d', '2h']","['5d', '3d']","['6s', '4h', '2s', 'As']","['9d', '7d', '4s']","['Ad', '9s', '8d']",4,4
28,Turn,0,85,-85,CALL,0,0,0,"['2d', '2h']","['5d', '3d']","['6s', '4h', '2s', 'As']","['9d', '7d', '4s']","['Ad', '9s', '8d']",4,4
28,River,1,85,-85,CHECK,0,0,0,"['2d', '2h']","['5d', '3d']","['6s', '4h', '2s', 'As', '3s']","['9d', '7d', '4s']","['Ad', '9s', '8d']",8,8
28,River,0,85,-85,CHECK,0,0,0,"['2d', '2h']","['5d', '3d']","['6s', '4h', '2s', 'As', '3s']","['9d', '7d', '4s']","['Ad', '9s', '8d']",8,8
29,Pre-Flop,1,77,-77,RAISE,6,0,0,"['8d', '5d', '2s', '3s', '6h']","['7d', '8s', '8h', '7h', '3h']",[],[],[],1,1
29,Pre-Flop,0,77,-77,CALL,0,0,0,"['8d', '5d', '2s', '3s', '6h']","['7d', '8s', '8h', '7h', '3h']",[],[],[],2,2
29,Flop,0,77,-77,DISCARD,0,0,1,"['8d', '5d', '2s', '3s', '6h']","['7d', '8s', '8h', '7h', '3h']","['5h', '5s', '6d']",[],[],8,8
29,Flop,1,77,-77,DISCARD,0,0,1,"['8d', '5d']","['7d', '8s', '8h', '7h', '3h']","['5h', '5s', '6d']","['2s', '3s', '6h']",[],8,8
29,Flop,0,77,-77,RAISE,12,0,0,"['8d', '5d']","['7d', '8s']","['5h', '5s', '6d']","['2s', '3s', '6h']","['8h', '7h', '3h']",8,8
29,Flop,1,77,-77,FOLD,0,0,0,"['8d', '5d']","['7d', '8s']","['5h', '5s', '6d']","['2s', '3s', '6h']","['8h', '7h', '3h']",8,8
30,Pre-Flop,0,85,-85,CALL,0,0,0,"['4h', '3h', 'As', '8d', '9h']","['5h', '9s', '4d', '6s', '7h']",[],[],[],1,1
30,Pre-Flop,1,85,-85,CHECK,0,0,0,"['4h', '3h', 'As', '8d', '9h']","['5h', '9s', '4d', '6s', '7h']",[],[],[],2,2
30,Flop,1,85,-85,DISCARD,0,0,2,"['4h', '3h', 'As', '8d', '9h']","['5h', '9s', '4d', '6s', '7h']","['3d', '2s', '8h']",[],[],2,2
30,Flop,0,85,-85,DISCARD,0,1,3,"['4h', '3h', 'As', '8d', '9h']","['5h', '4d']","['3d', '2s', '8h']",[],"['9s', '6s', '7h']",2,2
30,Flop,1,85,-85,CHECK,0,0,0,"['3h', '8d']","['5h', '4d']","['3d', '2s', '8h']","['4h', 'As', '9h']","['9s', '6s', '7h']",2,2
