# Team 0: AA998, Team 1: SixsevenPoker
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
4,Flop,1,21,-21,RAISE,2,0,0,"['7h', '4s']","['8h', '6d']","['2h', '8d', '6s']","['Ad', '2d', '3d']","['9s', '9d', '7d']",2,2
4,Flop,0,21,-21,FOLD,0,0,0,"['7h', '4s']","['8h', '6d']","['2h', '8d', '6s']","['Ad', '2d', '3d']","['9s', '9d', '7d']",2,2
5,Pre-Flop,1,19,-19,RAISE,2,0,0,"['3h', '2s', '3s', '8s', '6h']","['9s', '9d', '4h', '2h', 'Ad']",[],[],[],1,1
5,Pre-Flop,0,19,-19,FOLD,0,0,0,"['3h', '2s', '3s', '8s', '6h']","['9s', '9d', '4h', '2h', 'Ad']",[],[],[],2,2
6,Pre-Flop,0,17,-17,CALL,0,0,0,"['7d', '7h', '6d', '9d', 'Ad']","['8h', '3s', '6s', '9s', '5h']",[],[],[],1,1
6,Pre-Flop,1,17,-17,CHECK,0,0,0,"['7d', '7h', '6d', '9d', 'Ad']","['8h', '3s', '6s', '9s', '5h']",[],[],[],2,2
6,Flop,1,17,-17,DISCARD,0,1,2,"['7d', '7h', '6d', '9d', 'Ad']","['8h', '3s', '6s', '9s', '5h']","['6h', '2d', '3d']",[],[],2,2
6,Flop,0,17,-17,DISCARD,0,2,4,"['7d', '7h', '6d', '9d', 'Ad']","['3s', '6s']","['6h', '2d', '3d']",[],"['8h', '9s', '5h']",2,2
6,Flop,1,17,-17,CHECK,0,0,0,"['6d', 'Ad']","['3s', '6s']","['6h', '2d', '3d']","['7d', '7h', '9d']","['8h', '9s', '5h']",2,2
6,Flop,0,17,-17,RAISE,2,0,0,"['6d', 'Ad']","['3s', '6s']","['6h', '2d', '3d']","['7d', '7h', '9d']","['8h', '9s', '5h']",2,2
6,Flop,1,17,-17,CALL,0,0,0,"['6d', 'Ad']","['3s', '6s']","['6h', '2d', '3d']","['7d', '7h', '9d']","['8h', '9s', '5h']",2,2
6,Turn,1,17,-17,CHECK,0,0,0,"['6d', 'Ad']","['3s', '6s']","['6h', '2d', '3d', '8d']","['7d', '7h', '9d']","['8h', '9s', '5h']",4,4
6,Turn,0,17,-17,RAISE,8,0,0,"['6d', 'Ad']","['3s', '6s']","['6h', '2d', '3d', '8d']","['7d', '7h', '9d']","['8h', '9s', '5h']",4,4
6,Turn,1,17,-17,CALL,0,0,0,"['6d', 'Ad']","['3s', '6s']","['6h', '2d', '3d', '8d']","['7d', '7h', '9d']","['8h', '9s', '5h']",4,4
6,River,1,17,-17,RAISE,18,0,0,"['6d', 'Ad']","['3s', '6s']","['6h', '2d', '3d', '8d', '7s']","['7d', '7h', '9d']","['8h', '9s', '5h']",12,12
6,River,0,17,-17,RAISE,70,0,0,"['6d', 'Ad']","['3s', '6s']","['6h', '2d', '3d', '8d', '7s']","['7d', '7h', '9d']","['8h', '9s', '5h']",12,12
6,River,1,17,-17,CALL,0,0,0,"['6d', 'Ad']","['3s', '6s']","['6h', '2d', '3d', '8d', '7s']","['7d', '7h', '9d']","['8h', '9s', '5h']",30,30
7,Pre-Flop,1,117,-117,CALL,0,0,0,"['5d', '3s', '7s', '7h', '2s']","['7d', '3d', '4s', '8s', '6s']",[],[],[],1,1
7,Pre-Flop,0,117,-117,CHECK,0,0,0,"['5d', '3s', '7s', '7h', '2s']","['7d', '3d', '4s', '8s', '6s']",[],[],[],2,2
7,Flop,0,117,-117,DISCARD,0,2,3,"['5d', '3s', '7s', '7h', '2s']","['7d', '3d', '4s', '8s', '6s']","['Ah', '5h', 'Ad']",[],[],2,2
7,Flop,1,117,-117,DISCARD,0,0,3,"['7s', '7h']","['7d', '3d', '4s', '8s', '6s']","['Ah', '5h', 'Ad']","['5d', '3s', '2s']",[],2,2
7,Flop,0,117,-117,CHECK,0,0,0,"['7s', '7h']","['7d', '8s']","['Ah', '5h', 'Ad']","['5d', '3s', '2s']","['3d', '4s', '6s']",2,2
7,Flop,1,117,-117,CHECK,0,0,0,"['7s', '7h']","['7d', '8s']","['Ah', '5h', 'Ad']","['5d', '3s', '2s']","['3d', '4s', '6s']",2,2
7,Turn,0,117,-117,CHECK,0,0,0,"['7s', '7h']","['7d', '8s']","['Ah', '5h', 'Ad', '9d']","['5d', '3s', '2s']","['3d', '4s', '6s']",2,2
7,Turn,1,117,-117,CHECK,0,0,0,"['7s', '7h']","['7d', '8s']","['Ah', '5h', 'Ad', '9d']","['5d', '3s', '2s']","['3d', '4s', '6s']",2,2
7,River,0,117,-117,CHECK,0,0,0,"['7s', '7h']","['7d', '8s']","['Ah', '5h', 'Ad', '9d', '4d']","['5d', '3s', '2s']","['3d', '4s', '6s']",2,2
7,River,1,117,-117,CHECK,0,0,0,"['7s', '7h']","['7d', '8s']","['Ah', '5h', 'Ad', '9d', '4d']","['5d', '3s', '2s']","['3d', '4s', '6s']",2,2
8,Pre-Flop,0,119,-119,RAISE,2,0,0,"['Ah', '8s', '9h', '5d', '5s']","['2s', '2h', '4h', '6s', '7s']",[],[],[],1,1
8,Pre-Flop,1,119,-119,CALL,0,0,0,"['Ah', '8s', '9h', '5d', '5s']","['2s', '2h', '4h', '6s', '7s']",[],[],[],2,2
8,Flop,1,119,-119,DISCARD,0,2,4,"['Ah', '8s', '9h', '5d', '5s']","['2s', '2h', '4h', '6s', '7s']","['5h', '9d', '4d']",[],[],4,4
8,Flop,0,119,-119,DISCARD,0,3,4,"['Ah', '8s', '9h', '5d', '5s']","['4h', '7s']","['5h', '9d', '4d']",[],"['2s', '2h', '6s']",4,4
8,Flop,1,119,-119,CHECK,0,0,0,"['5d', '5s']","['4h', '7s']","['5h', '9d', '4d']","['Ah', '8s', '9h']","['2s', '2h', '6s']",4,4
8,Flop,0,119,-119,RAISE,6,0,0,"['5d', '5s']","['4h', '7s']","['5h', '9d', '4d']","['Ah', '8s', '9h']","['2s', '2h', '6s']",4,4
8,Flop,1,119,-119,FOLD,0,0,0,"['5d', '5s']","['4h', '7s']","['5h', '9d', '4d']","['Ah', '8s', '9h']","['2s', '2h', '6s']",4,4
9,Pre-Flop,1,123,-123,CALL,0,0,0,"['6d', 'Ad', '8h', '3s', '5h']","['9s', '7h', '7d', 'Ah', '2s']",[],[],[],1,1
9,Pre-Flop,0,123,-123,RAISE,2,0,0,"['6d', 'Ad', '8h', '3s', '5h']","['9s', '7h', '7d', 'Ah', '2s']",[],[],[],2,2
9,Pre-Flop,1,123,-123,CALL,0,0,0,"['6d', 'Ad', '8h', '3s', '5h']","['9s', '7h', '7d', 'Ah', '2s']",[],[],[],2,2
9,Flop,0,123,-123,DISCARD,0,3,4,"['6d', 'Ad', '8h', '3s', '5h']","['9s', '7h', '7d', 'Ah', '2s']","['5s', '7s', '3h']",[],[],4,4
9,Flop,1,123,-123,DISCARD,0,1,2,"['3s', '5h']","['9s', '7h', '7d', 'Ah', '2s']","['5s', '7s', '3h']","['6d', 'Ad', '8h']",[],4,4
9,Flop,0,123,-123,CHECK,0,0,0,"['3s', '5h']","['7h', '7d']","['5s', '7s', '3h']","['6d', 'Ad', '8h']","['9s', 'Ah', '2s']",4,4
9,Flop,1,123,-123,RAISE,4,0,0,"['3s', '5h']","['7h', '7d']","['5s', '7s', '3h']","['6d', 'Ad', '8h']","['9s', 'Ah', '2s']",4,4
9,Flop,0,123,-123,FOLD,0,0,0,"['3s', '5h']","['7h', '7d']","['5s', '7s', '3h']","['6d', 'Ad', '8h']","['9s', 'Ah', '2s']",4,4
10,Pre-Flop,0,119,-119,RAISE,2,0,0,"['8h', '2s', '2h', '6d', '7s']","['5s', '9s', '4s', '3d', '8d']",[],[],[],1,1
10,Pre-Flop,1,119,-119,CALL,0,0,0,"['8h', '2s', '2h', '6d', '7s']","['5s', '9s', '4s', '3d', '8d']",[],[],[],2,2
10,Flop,1,119,-119,DISCARD,0,3,4,"['8h', '2s', '2h', '6d', '7s']","['5s', '9s', '4s', '3d', '8d']","['Ad', '4d', '2d']",[],[],4,4
10,Flop,0,119,-119,DISCARD,0,1,2,"['8h', '2s', '2h', '6d', '7s']","['3d', '8d']","['Ad', '4d', '2d']",[],"['5s', '9s', '4s']",4,4
10,Flop,1,119,-119,RAISE,6,0,0,"['2s', '2h']","['3d', '8d']","['Ad', '4d', '2d']","['8h', '6d', '7s']","['5s', '9s', '4s']",4,4
10,Flop,0,119,-119,CALL,0,0,0,"['2s', '2h']","['3d', '8d']","['Ad', '4d', '2d']","['8h', '6d', '7s']","['5s', '9s', '4s']",4,4
10,Turn,1,119,-119,RAISE,15,0,0,"['2s', '2h']","['3d', '8d']","['Ad', '4d', '2d', '5h']","['8h', '6d', '7s']","['5s', '9s', '4s']",10,10
10,Turn,0,119,-119,FOLD,0,0,0,"['2s', '2h']","['3d', '8d']","['Ad', '4d', '2d', '5h']","['8h', '6d', '7s']","['5s', '9s', '4s']",10,10
11,Pre-Flop,1,109,-109,CALL,0,0,0,"['4d', '9s', 'Ah', '8d', '4h']","['2h', '3d', '7d', '8s', '6h']",[],[],[],1,1
11,Pre-Flop,0,109,-109,RAISE,2,0,0,"['4d', '9s', 'Ah', '8d', '4h']","['2h', '3d', '7d', '8s', '6h']",[],[],[],2,2
11,Pre-Flop,1,109,-109,CALL,0,0,0,"['4d', '9s', 'Ah', '8d', '4h']","['2h', '3d', '7d', '8s', '6h']",[],[],[],2,2
11,Flop,0,109,-109,DISCARD,0,1,2,"['4d', '9s', 'Ah', '8d', '4h']","['2h', '3d', '7d', '8s', '6h']","['As', '3h', '5s']",[],[],4,4
11,Flop,1,109,-109,DISCARD,0,1,3,"['9s', 'Ah']","['2h', '3d', '7d', '8s', '6h']","['As', '3h', '5s']","['4d', '8d', '4h']",[],4,4
11,Flop,0,109,-109,CHECK,0,0,0,"['9s', 'Ah']","['3d', '8s']","['As', '3h', '5s']","['4d', '8d', '4h']","['2h', '7d', '6h']",4,4
11,Flop,1,109,-109,CHECK,0,0,0,"['9s', 'Ah']","['3d', '8s']","['As', '3h', '5s']","['4d', '8d', '4h']","['2h', '7d', '6h']",4,4
11,Turn,0,109,-109,CHECK,0,0,0,"['9s', 'Ah']","['3d', '8s']","['As', '3h', '5s', '6d']","['4d', '8d', '4h']","['2h', '7d', '6h']",4,4
11,Turn,1,109,-109,CHECK,0,0,0,"['9s', 'Ah']","['3d', '8s']","['As', '3h', '5s', '6d']","['4d', '8d', '4h']","['2h', '7d', '6h']",4,4
11,River,0,109,-109,CHECK,0,0,0,"['9s', 'Ah']","['3d', '8s']","['As', '3h', '5s', '6d', '4s']","['4d', '8d', '4h']","['2h', '7d', '6h']",4,4
11,River,1,109,-109,CHECK,0,0,0,"['9s', 'Ah']","['3d', '8s']","['As', '3h', '5s', '6d', '4s']","['4d', '8d', '4h']","['2h', '7d', '6h']",4,4
12,Pre-Flop,0,113,-113,RAISE,2,0,0,"['8d', '4s', 'As', '6d', '9h']","['3d', '3h', '9s', '5s', '8s']",[],[],[],1,1
12,Pre-Flop,1,113,-113,CALL,0,0,0,"['8d', '4s', 'As', '6d', '9h']","['3d', '3h', '9s', '5s', '8s']",[],[],[],2,2
