# Team 0: SixsevenPoker, Team 1: hee
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
3,Flop,0,-52,52,RAISE,3,0,0,"['4s', '3d']","['7h', '4h']","['As', '2d', '5h']","['6d', '4d', '5d']","['8s', 'Ad', '8h']",2,2
3,Flop,1,-52,52,FOLD,0,0,0,"['4s', '3d']","['7h', '4h']","['As', '2d', '5h']","['6d', '4d', '5d']","['8s', 'Ad', '8h']",2,2
4,Pre-Flop,0,-50,50,CALL,0,0,0,"['2s', '2d', '7h', '6d', '7s']","['5s', '4h', '4d', '5h', '9s']",[],[],[],1,1
4,Pre-Flop,1,-50,50,CHECK,0,0,0,"['2s', '2d', '7h', '6d', '7s']","['5s', '4h', '4d', '5h', '9s']",[],[],[],2,2
4,Flop,1,-50,50,DISCARD,0,1,2,"['2s', '2d', '7h', '6d', '7s']","['5s', '4h', '4d', '5h', '9s']","['6h', 'Ah', '4s']",[],[],2,2
4,Flop,0,-50,50,DISCARD,0,2,4,"['2s', '2d', '7h', '6d', '7s']","['4h', '4d']","['6h', 'Ah', '4s']",[],"['5s', '5h', '9s']",2,2
4,Flop,1,-50,50,RAISE,3,0,0,"['7h', '7s']","['4h', '4d']","['6h', 'Ah', '4s']","['2s', '2d', '6d']","['5s', '5h', '9s']",2,2
4,Flop,0,-50,50,CALL,0,0,0,"['7h', '7s']","['4h', '4d']","['6h', 'Ah', '4s']","['2s', '2d', '6d']","['5s', '5h', '9s']",2,2
4,Turn,1,-50,50,RAISE,8,0,0,"['7h', '7s']","['4h', '4d']","['6h', 'Ah', '4s', '9d']","['2s', '2d', '6d']","['5s', '5h', '9s']",5,5
4,Turn,0,-50,50,FOLD,0,0,0,"['7h', '7s']","['4h', '4d']","['6h', 'Ah', '4s', '9d']","['2s', '2d', '6d']","['5s', '5h', '9s']",5,5
5,Pre-Flop,1,-55,55,CALL,0,0,0,"['8h', 'Ad', '8d', '4d', '9s']","['3h', '9h', '6h', '8s', '3s']",[],[],[],1,1
5,Pre-Flop,0,-55,55,CHECK,0,0,0,"['8h', 'Ad', '8d', '4d', '9s']","['3h', '9h', '6h', '8s', '3s']",[],[],[],2,2
5,Flop,0,-55,55,DISCARD,0,0,1,"['8h', 'Ad', '8d', '4d', '9s']","['3h', '9h', '6h', '8s', '3s']","['As', '4s', 'Ah']",[],[],2,2
5,Flop,1,-55,55,DISCARD,0,0,4,"['8h', 'Ad']","['3h', '9h', '6h', '8s', '3s']","['As', '4s', 'Ah']","['8d', '4d', '9s']",[],2,2
5,Flop,0,-55,55,RAISE,2,0,0,"['8h', 'Ad']","['3h', '3s']","['As', '4s', 'Ah']","['8d', '4d', '9s']","['9h', '6h', '8s']",2,2
5,Flop,1,-55,55,FOLD,0,0,0,"['8h', 'Ad']","['3h', '3s']","['As', '4s', 'Ah']","['8d', '4d', '9s']","['9h', '6h', '8s']",2,2
6,Pre-Flop,0,-53,53,CALL,0,0,0,"['3h', '6h', '6s', '2h', '5d']","['8d', '9s', '6d', '2s', '7d']",[],[],[],1,1
6,Pre-Flop,1,-53,53,RAISE,10,0,0,"['3h', '6h', '6s', '2h', '5d']","['8d', '9s', '6d', '2s', '7d']",[],[],[],2,2
6,Pre-Flop,0,-53,53,FOLD,0,0,0,"['3h', '6h', '6s', '2h', '5d']","['8d', '9s', '6d', '2s', '7d']",[],[],[],2,2
7,Pre-Flop,1,-55,55,CALL,0,0,0,"['9d', '9s', 'Ad', '3s', '7h']","['4h', '4d', '5s', '4s', '5h']",[],[],[],1,1
7,Pre-Flop,0,-55,55,RAISE,3,0,0,"['9d', '9s', 'Ad', '3s', '7h']","['4h', '4d', '5s', '4s', '5h']",[],[],[],2,2
7,Pre-Flop,1,-55,55,CALL,0,0,0,"['9d', '9s', 'Ad', '3s', '7h']","['4h', '4d', '5s', '4s', '5h']",[],[],[],2,2
7,Flop,0,-55,55,DISCARD,0,0,1,"['9d', '9s', 'Ad', '3s', '7h']","['4h', '4d', '5s', '4s', '5h']","['6s', '5d', '6h']",[],[],5,5
