# Team 0: FLEXasHoldEm, Team 1: SixsevenPoker
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
5,Flop,0,97,-97,RAISE,20,0,0,"['Ah', '4h']","['9s', '5d']","['9h', '3h', '5h']","['5s', '4s', '7h']","['7s', 'Ad', '4d']",12,12
5,Flop,1,97,-97,FOLD,0,0,0,"['Ah', '4h']","['9s', '5d']","['9h', '3h', '5h']","['5s', '4s', '7h']","['7s', 'Ad', '4d']",12,12
6,Pre-Flop,0,109,-109,CALL,0,0,0,"['9h', '6s', 'As', '8d', '2d']","['3s', '4d', '7h', '8h', '9d']",[],[],[],1,1
6,Pre-Flop,1,109,-109,CHECK,0,0,0,"['9h', '6s', 'As', '8d', '2d']","['3s', '4d', '7h', '8h', '9d']",[],[],[],2,2
6,Flop,1,109,-109,DISCARD,0,0,4,"['9h', '6s', 'As', '8d', '2d']","['3s', '4d', '7h', '8h', '9d']","['2h', '5h', '3d']",[],[],2,2
6,Flop,0,109,-109,DISCARD,0,1,4,"['9h', '6s', 'As', '8d', '2d']","['3s', '9d']","['2h', '5h', '3d']",[],"['4d', '7h', '8h']",2,2
6,Flop,1,109,-109,CHECK,0,0,0,"['6s', '2d']","['3s', '9d']","['2h', '5h', '3d']","['9h', 'As', '8d']","['4d', '7h', '8h']",2,2
6,Flop,0,109,-109,CHECK,0,0,0,"['6s', '2d']","['3s', '9d']","['2h', '5h', '3d']","['9h', 'As', '8d']","['4d', '7h', '8h']",2,2
6,Turn,1,109,-109,CHECK,0,0,0,"['6s', '2d']","['3s', '9d']","['2h', '5h', '3d', '7s']","['9h', 'As', '8d']","['4d', '7h', '8h']",2,2
6,Turn,0,109,-109,CHECK,0,0,0,"['6s', '2d']","['3s', '9d']","['2h', '5h', '3d', '7s']","['9h', 'As', '8d']","['4d', '7h', '8h']",2,2
